rs_school_emis_code,sc_total_exp_current_year,sc_balance,total_funds_available
31120254,20000,939592,959592
31120264,0,975768,975768
31120265,40000,1041841,1081841
31120267,116000,831005,947005
31120268,0,1066337,1066337
31120269,10000,956004,966004
31120270,0,954409,954409
31120271,60000,905688,965688
31120273,75000,966392,1041392
31120276,0,951841,951841
31120278,62000,918037,980037
31120281,114939,935207,1050146
31120287,45000,918556,963556
31120291,45000,879927,924927
31120292,0,879173,879173
31120293,0,981019,981019
31120294,45000,924712,969712
31120296,90000,869487,959487
31120297,75000,917867,992867
31120298,24616,942128,966744
31120300,80070,913728,993798
31120301,50035,549453,599488
31120304,0,1080514,1080514
31120306,100070,863762,963832
31120307,15000,1256837,1271837
31120308,60000,896296,956296
31120309,0,1139406,1139406
31120311,0,0,0
31120312,146035,822176,968211
31120313,0,141,141
31120314,0,244600,244600
31120315,20000,872563,892563
31120317,44000,891078,935078
31120320,95070,993230,1088300
31120321,80106,166937,247043
31120323,70105,1005322,1075427
31120329,35,1070577,1070612
31120330,0,729164,729164
31120331,80035,831219,911254
31120332,700000,313573,1013573
31120333,488175,890747,1378922
31120334,48035,821194,869229
31120339,262390,22320,284710
31120340,35035,948241,983276
31120347,55070,871907,926977
31120348,412382,872686,1285068
31120350,40000,931241,971241
31120352,50035,851382,901417
31120354,35,1000890,1000925
31120358,70000,928254,998254
31120360,50035,78188,128223
31120362,40035,891086,931121
31120365,76128,835168,911296
31120369,43070,820985,864055
31120371,35035,954874,989909
31120372,15000,960374,975374
31120374,17535,983399,1000934
31120375,160365,863888,1024253
31120376,76140,890345,966485
31120378,35,954932,954967
31120383,15035,1065890,1080925
31120385,0,0,0
31120386,0,102285,102285
31120387,54442,876909,931351
31120388,160218,72096,232314
31120391,30000,108432,138432
31120397,70000,892049,962049
31120398,60000,503999,563999
31120399,0,173991,173991
31120400,60000,33373,93373
31120401,70000,908890,978890
31120402,40000,45104,85104
31120403,72000,60441,132441
31120404,18035,2260,20295
31120406,35000,64320,99320
31120407,70000,74629,144629
31120408,292175,124621,416796
31120409,111000,27297,138297
31120411,295175,950368,1245543
31120414,200316,134970,335286
31120416,185000,79416,264416
31120418,0,1265335,1265335
31120419,302325,301572,603897
31120421,280475,83969,364444
31120422,28000,26716,54716
31120423,49000,49969,98969
31120424,120470,26752,147222
31120425,0,0,0
31120426,189900,60,189960
31120427,150000,43667,193667
31120430,10000,79948,89948
31120433,100000,467036,567036
31120435,112203,66865,179068
31120437,0,0,0
31120438,265000,44577,309577
31120439,50000,88643,138643
31120440,40000,879064,919064
31120441,35,994031,994066
31120442,184667,22395,207062
31120444,165000,861361,1026361
31120445,100720,95631,196351
31120446,74000,77401,151401
31120447,39035,65659,104694
31120448,21392,70601,91993
31120449,78035,28376,106411
31120450,105035,451706,556741
31120451,20335,89793,110128
31120452,109628,258,109886
31120453,216337,179,216516
31120454,48000,1428671,1476671
31120455,35035,449121,484156
31120456,54000,26400,80400
31120457,57069,80050,137119
31120458,0,0,0
31120459,159596,75826,235422
31120460,25000,976575,1001575
31120461,55000,523642,578642
31120462,158800,65128,223928
31120464,0,0,0
31120466,45290,54397,99687
31120467,0,0,0
31120469,22035,1007971,1030006
31120470,123585,663994,787579
31120471,75000,104676,179676
31120473,0,189685,189685
31120474,61000,55469,116469
31120476,33000,77040,110040
31120477,36035,78984,115019
31120479,115105,1969,117074
31120480,70,278291,278361
31120482,28000,23354,51354
31120483,75000,111357,186357
31120484,126000,80239,206239
31120485,48800,28618,77418
31120486,94000,732,94732
31120487,0,509353,509353
31120488,0,0,0
31120489,100000,954996,1054996
31120490,44376,865569,909945
31120491,35,286523,286558
31120492,0,992340,992340
31120493,49000,1002091,1051091
31120495,0,166233,166233
31120496,0,114792,114792
31120497,72000,941,72941
31120498,0,85984,85984
31120499,70000,1053470,1123470
31120500,50000,981863,1031863
31120501,40000,889077,929077
31120502,64764,455075,519839
31120503,100000,25340,125340
31120504,57171,887090,944261
31120505,30000,951274,981274
31120506,30000,894041,924041
31120507,0,0,0
31120508,36000,39636,75636
31120509,0,239998,239998
31120510,0,119396,119396
31120511,75000,92274,167274
31120512,0,891124,891124
31120513,0,54081,54081
31120516,250000,875933,1125933
31120517,40000,93894,133894
31120518,0,1066163,1066163
31120519,38500,38478,76978
31120520,0,76144,76144
31120522,74000,165196,239196
31120523,60000,958065,1018065
31120524,50035,65092,115127
31120525,0,1197885,1197885
31120527,115430,100532,215962
31120528,30000,73919,103919
31120529,34000,82887,116887
31120530,0,63705,63705
31120531,0,965848,965848
31120532,30035,90186,120221
31120534,50035,313090,363125
31120535,100105,113102,213207
31120536,30000,86619,116619
31120537,0,1283176,1283176
31120540,26000,27792,53792
31120541,70,246160,246230
31120542,70972,1071520,1142492
31120543,23000,115462,138462
31120544,35,91155,91190
31120545,298044,238223,536267
31120546,30070,969547,999617
31120547,30000,97294,127294
31120548,70,977720,977790
31120549,30070,113883,143953
31120550,0,1370131,1370131
31120551,35,1299077,1299112
31120552,58000,59291,117291
31120553,0,995523,995523
31120554,50070,511961,562031
31120555,152799,0,152799
31120556,129000,391,129391
31120557,30070,167623,197693
31120558,120000,255728,375728
31120559,51000,78010,129010
31120560,200000,238658,438658
31120561,105335,410450,515785
31120562,0,0,0
31120563,123038,334620,457658
31120565,45000,102251,147251
31120566,75000,41391,116391
31120567,140000,488731,628731
31120568,29000,94061,123061
31120569,65035,68726,133761
31120570,20000,543191,563191
31120571,44035,103436,147471
31120572,50000,128738,178738
31120573,20000,83707,103707
31120574,59280,6620,65900
31120575,40000,674784,714784
31120576,70000,223969,293969
31120577,100000,150408,250408
31120580,87000,120598,207598
31120581,50000,245530,295530
31120582,0,295072,295072
31120583,105000,961715,1066715
31120584,35,1101485,1101520
31120585,50000,421039,471039
31120586,29334,87520,116854
31120588,140000,135828,275828
31120589,100000,103268,203268
31120590,186070,2746,188816
31120593,50105,238811,288916
31120594,320672,1306255,1626927
31120595,0,1104338,1104338
31120596,0,236186,236186
31120598,15000,970496,985496
31120599,1084525,3276,1087801
31120600,0,106970,106970
31120601,50000,112849,162849
31120603,30000,75673,105673
31120604,42000,119469,161469
31120605,71205,848067,919272
31120606,0,0,0
31120607,0,0,0
31120608,0,0,0
31120609,0,1000,1000
31120610,0,0,0
31120611,0,0,0
31120612,0,0,0
31120614,0,0,0
31120615,0,0,0
31120616,0,0,0
31120617,0,0,0
31120618,0,0,0
31120619,0,0,0
31120620,0,0,0
31120621,0,0,0
31120622,0,0,0
31120623,0,0,0
31120626,0,0,0
31120627,0,0,0
31120628,0,0,0
31120629,0,0,0
31120631,79000,858523,937523
31120634,0,0,0
31120635,0,0,0
31120636,0,0,0
31120641,0,0,0
31120643,0,0,0
31120644,35,205179,205214
31120645,19300,23490,42790
31120646,33000,936509,969509
31120647,96450,881673,978123
31120648,0,0,0
31120649,0,0,0
31120650,0,0,0
31120651,6035,18612,24647
31120652,5729,199745,205474
31120700,50000,65931,115931
31120702,25000,56638,81638
31120704,0,0,0
31120706,0,159572,159572
31120707,130625,39186,169811
31120708,100070,856436,956506
31120709,75072,1018050,1093122
31120710,70,1031084,1031154
31130001,294083,1556365,1850448
31130002,100000,1046542,1146542
31130003,402323,839780,1242103
31130004,106000,112264,218264
31130005,134253,1315590,1449843
31130006,90229,910631,1000860
31130007,31000,1007224,1038224
31130008,186432,1006030,1192462
31130009,24380,1058826,1083206
31130010,42193,861452,903645
31130011,196929,1376101,1573030
31130012,69221,921157,990378
31130013,125531,888978,1014509
31130014,90306,1007261,1097567
31130015,120069,1389860,1509929
31130016,220000,802637,1022637
31130017,431105,985078,1416183
31130018,106802,1027385,1134187
31130019,383437,1202448,1585885
31130020,381801,1616926,1998727
31130021,47000,216577,263577
31130022,139969,934607,1074576
31130023,209615,851337,1060952
31130024,543585,911788,1455373
31130025,68100,1043353,1111453
31130026,150000,1178108,1328108
31130027,100000,190789,290789
31130028,0,0,0
31130031,400000,1079821,1479821
31130032,199035,35887,234922
31130034,50070,512725,562795
31130035,26070,792723,818793
31130036,50000,999363,1049363
31130037,150035,100686,250721
31130038,225000,115307,340307
31130039,30000,65439,95439
31130040,57000,984887,1041887
31130041,298208,1122266,1420474
31130042,10000,156643,166643
31130043,0,937483,937483
31130044,23660,110261,133921
31130045,45000,74277,119277
31130046,54000,148608,202608
31130047,50000,300997,350997
31130048,0,1122515,1122515
31130049,40000,210303,250303
31130050,84623,294613,379236
31130051,120000,266474,386474
31130052,65000,247544,312544
31130053,0,219057,219057
31130054,90000,92103,182103
31130055,110000,89544,199544
31130056,50000,205778,255778
31130057,0,212281,212281
31130058,349999,11911,361910
31130059,180000,142103,322103
31130060,214880,846387,1061267
31130061,0,139719,139719
31130062,43500,238370,281870
31130063,55931,113872,169803
31130064,32000,165635,197635
31130065,0,130098,130098
31130066,0,587821,587821
31130067,75592,159377,234969
31130068,180000,857660,1037660
31130069,108270,177485,285755
31130070,5997,776140,782137
31130071,54377,173958,228335
31130072,50000,341252,391252
31130073,49500,127275,176775
31130074,100830,887423,988253
31130075,120000,220735,340735
31130076,140000,345446,485446
31130077,25000,135489,160489
31130078,122870,114176,237046
31130079,0,957577,957577
31130081,0,242196,242196
31130082,50000,95765,145765
31130083,13343,102293,115636
31130084,0,148827,148827
31130085,50000,615184,665184
31130088,75000,1030784,1105784
31130091,130000,1042630,1172630
31130093,150000,645502,795502
31130094,15000,717282,732282
31130095,59000,29308,88308
31130096,25000,507835,532835
31130099,12000,159799,171799
31130100,25000,637888,662888
31130101,50000,147080,197080
31130102,0,1266943,1266943
31130103,50000,634227,684227
31130104,70070,9710,79780
31130105,26000,2545,28545
31130106,60000,953986,1013986
31130107,40105,39218,79323
31130108,182785,577,183362
31130110,20000,457825,477825
31130112,99000,44262,143262
31130114,0,966693,966693
31130116,75000,972756,1047756
31130118,29270,934007,963277
31130120,125000,402059,527059
31130121,0,0,0
31130122,50000,1028969,1078969
31130125,100000,566021,666021
31130126,59000,6181,65181
31130128,154500,818071,972571
31130132,35,180395,180430
31130136,60070,512081,572151
31130137,140000,88621,228621
31130140,200000,1098852,1298852
31130141,100140,83586,183726
31130142,150000,48647,198647
31130143,35,651842,651877
31130144,60324,51679,112003
31130145,150000,2693,152693
31130146,189695,19959,209654
31130150,0,984944,984944
31130151,50035,492600,542635
31130152,200000,833383,1033383
31130153,70,333721,333791
31130154,35,978316,978351
31130155,0,310962,310962
31130156,25000,492486,517486
31130157,85000,841752,926752
31130158,46950,892329,939279
31130159,40000,900273,940273
31130161,68500,410527,479027
31130166,0,563318,563318
31130168,50035,987414,1037449
31130169,25000,564078,589078
31130170,60000,400742,460742
31130173,40000,75655,115655
31130174,90000,488129,578129
31130176,100000,879082,979082
31130178,50000,58715,108715
31130179,100000,954179,1054179
31130180,0,1111208,1111208
31130181,94129,630,94759
31130183,50000,109531,159531
31130184,70,155945,156015
31130187,100000,30544,130544
31130189,80000,456059,536059
31130191,50000,1089924,1139924
31130192,0,0,0
31130193,0,478757,478757
31130194,132070,2734,134804
31130195,100000,850340,950340
31130196,60000,799124,859124
31130197,88000,1483,89483
31130198,120143,40456,160599
31130199,20105,112964,133069
31130200,202720,979602,1182322
31130201,118700,466089,584789
31130202,241793,850492,1092285
31130207,0,987324,987324
31130208,20105,135176,155281
31130209,35050,53129,88179
31130210,70000,411331,481331
31130212,35,123298,123333
31130213,14767,974418,989185
31130215,20035,436822,456857
31130216,50035,956091,1006126
31130217,50000,914872,964872
31130219,65000,703130,768130
31130220,35,1017538,1017573
31130221,52909,728587,781496
31130222,40000,452705,492705
31130223,40000,73300,113300
